x,y,species
97.78333,9.166667,Amphiprion_ephippium
98.677222,7.671944,Amphiprion_ephippium
99.5999984741,-2,Amphiprion_ephippium
98.1999969482,8,Amphiprion_ephippium
93,10,Amphiprion_ephippium
97.636,8.572,Amphiprion_ephippium
98.333,7.817,Amphiprion_ephippium
97.8330001831,1,Amphiprion_ephippium
94,7,Amphiprion_ephippium
99.253,6.544,Amphiprion_ephippium
99.069,7.213,Amphiprion_ephippium
92.987556,11.976042,Amphiprion_ephippium
97.811454,9.06033,Amphiprion_ephippium
98.022814,9.364216,Amphiprion_ephippium
93.032314,11.996694,Amphiprion_ephippium
97.856486,9.438997,Amphiprion_ephippium
98.371713,7.599927,Amphiprion_ephippium
99.256258,7.301876,Amphiprion_ephippium
92.989338,12.037233,Amphiprion_ephippium
99.500591,6.797184,Amphiprion_ephippium
97.983707,9.363898,Amphiprion_ephippium
92.946935,12.824097,Amphiprion_ephippium
99.335005,6.489392,Amphiprion_ephippium
98.767517,7.690332,Amphiprion_ephippium
98.104167,9.708889,Amphiprion_ephippium
99.258462,6.5578,Amphiprion_ephippium
98.782667,7.633581,Amphiprion_ephippium
99.302177,6.508384,Amphiprion_ephippium
97.971516,10.625739,Amphiprion_ephippium
98.442382,7.767923,Amphiprion_ephippium
98.7969,7.94734,Amphiprion_ephippium
98.0983,9.33932,Amphiprion_ephippium
97.800979,8.826379,Amphiprion_ephippium
97.987787,10.142634,Amphiprion_ephippium
95.3367,5.7773,Amphiprion_ephippium
95.3466,5.8006,Amphiprion_ephippium
95.2512,5.8829,Amphiprion_ephippium
95.2491,5.8828,Amphiprion_ephippium
98.876665,7.612798,Amphiprion_ephippium
98.25,8,Amphiprion_ephippium
93.5,8,Amphiprion_ephippium
