scenario,fish,host,weight,group,D_env_host_fut,I_env_host,D_comb_host_fut,I_comb_host,D_env_host_cur,D_comb_host_cur,delta_D_env,delta_D_comb
ssp119_2050,Amphiprion_akindynos,Entacmaea_quadricolor,0.56,generalist,0.44502769675059284,0.7187440482495302,0.3767408549962695,0.6363532342874995,0.448610159774831,0.43721548870700355,-0.0035824630242381472,-0.06047463371073403
ssp119_2050,Amphiprion_allardi,Entacmaea_quadricolor,0.51,generalist,0.5829192431271025,0.8630027327315843,0.660300234915014,0.9060601590915486,0.4954979261639496,0.532618953072667,0.08742131696315292,0.12768128184234695
ssp119_2050,Amphiprion_chrysogaster,Entacmaea_quadricolor,0.08,generalist,0.5618474441502996,0.832510192048627,0.4385405933003176,0.739654995404063,0.39539395790090703,0.3009270548294636,0.1664534862493926,0.137613538470854
ssp119_2050,Amphiprion_ephippium,Entacmaea_quadricolor,1,specialist,0.689372966562371,0.9213533468217046,0.7075140599835662,0.9364167233561996,0.6255252544170538,0.651235360311797,0.06384771214531726,0.05627869967176924
ssp119_2050,Amphiprion_frenatus,Entacmaea_quadricolor,1,specialist,0.5241858185983146,0.8092513102655322,0.5157665783774144,0.8082619764666095,0.6804711429351669,0.6736592208428231,-0.15628532433685227,-0.1578926424654088
ssp119_2050,Amphiprion_fuscocaudatus,Entacmaea_quadricolor,0.15,generalist,0.33102952222779025,0.6154812099081421,0.45452599139744776,0.747945711195244,0.41036396799571595,0.5234443705873076,-0.0793344457679257,-0.06891837918985988
ssp119_2050,Amphiprion_latifasciatus,Entacmaea_quadricolor,0.29,generalist,0.48921497325763996,0.7652552691930462,0.59012504045554,0.8460022701478398,0.4923071154244263,0.585511033558032,-0.003092142166786327,0.004614006897508016
ssp119_2050,Amphiprion_melanopus,Entacmaea_quadricolor,0.98,specialist,0.741021480318305,0.9438562884455785,0.7121615223138262,0.9318905156104592,0.7480550910989409,0.7051397159585608,-0.007033610780635913,0.007021806355265392
ssp119_2050,Amphiprion_rubrocinctus,Entacmaea_quadricolor,1,specialist,0.39874274354113093,0.7060800809501987,0.3788125602754887,0.6606229083886267,0.3295176685430037,0.3070410341931764,0.06922507499812725,0.0717715260823123
ssp119_2050,Amphiprion_sebae,Entacmaea_quadricolor,0.06,generalist,0.819663441251577,0.9728721467866042,0.855916540894856,0.9811842573801609,0.7897487812494729,0.7965019778712976,0.029914660002104076,0.05941456302355841
ssp119_2050,Amphiprion_tricinctus,Entacmaea_quadricolor,0.22,generalist,0.35187018837595296,0.7056409718635789,0.5397429391004005,0.8671810309723664,0.30734480314706036,0.4271310601331938,0.0445253852288926,0.1126118789672067
ssp119_2050,Amphiprion_akallopisos,Heteractis_magnifica,0.94,specialist,0.7631927084657599,0.95430433637685,0.7584253998662653,0.9569122341148972,0.7210732782260962,0.7226403108503647,0.04211943023966369,0.035785089015900606
ssp119_2050,Amphiprion_akindynos,Heteractis_magnifica,0.02,generalist,0.3220421488200226,0.6062157925447638,0.2879878341637584,0.5381407918586615,0.37967950319528554,0.3738566870936849,-0.05763735437526296,-0.08586885292992652
ssp119_2050,Amphiprion_allardi,Heteractis_magnifica,0.11,generalist,0.5222335153470437,0.8194255908441013,0.6505216266157066,0.8900991735943844,0.4573236051432571,0.5002940817874028,0.06490991020378656,0.1502275448283038
ssp119_2050,Amphiprion_chrysogaster,Heteractis_magnifica,0.32,generalist,0.460737580727825,0.7618767062276797,0.43124054872806417,0.7245004099877089,0.42811135933118394,0.34170951879647504,0.032626221396641064,0.08953102993158912
ssp119_2050,Amphiprion_latifasciatus,Heteractis_magnifica,0.08,generalist,0.5419429319768099,0.7807792688320059,0.6529969952796189,0.8616325037800029,0.5460125515350809,0.6222266676258061,-0.004069619558271009,0.030770327653812712
ssp119_2050,Amphiprion_leucokranos,Heteractis_magnifica,0.14,generalist,0.6468418647066447,0.8960449029670547,0.7385061004936111,0.9502334695594699,0.6666934845788242,0.6266837584050448,-0.019851619872179427,0.11182234208856634
ssp119_2050,Amphiprion_nigripes,Heteractis_magnifica,1,specialist,0.6507521927566564,0.8579415688934462,0.618419331971283,0.862186868067998,0.732856141063021,0.654834841215972,-0.08210394830636458,-0.03641550924468906
ssp119_2050,Amphiprion_ocellaris,Heteractis_magnifica,0.85,specialist,0.5107211726529659,0.8012060272357504,0.5677031397981782,0.8468961740134526,0.6985232060071849,0.6955442206691062,-0.18780203335421897,-0.12784108087092794
ssp119_2050,Amphiprion_percula,Heteractis_magnifica,0.81,specialist,0.573579056938376,0.8734282758666844,0.5960533628925069,0.8744170500012598,0.7015713640845997,0.6662676166728674,-0.12799230714622378,-0.0702142537803605
ssp119_2050,Amphiprion_tricinctus,Heteractis_magnifica,0.03,generalist,0.4018796398625677,0.7197670569342453,0.5908453889761696,0.8790886217290838,0.3459967984318786,0.4750450107773102,0.05588284143068911,0.11580037819885936
ssp119_2050,Amphiprion_akindynos,Heteractis_crispa,0.15,generalist,0.40310524355460764,0.6869673752585886,0.33693362048585596,0.5912458467369084,0.4738430285890468,0.4607131534187402,-0.07073778503443917,-0.12377953293288424
ssp119_2050,Amphiprion_allardi,Heteractis_crispa,0.01,generalist,0.556087060703002,0.8437604334122792,0.6590041644767071,0.8971818122116693,0.5391445620811792,0.5727490514328075,0.016942498621822732,0.08625511304389955
ssp119_2050,Amphiprion_fuscocaudatus,Heteractis_crispa,0.05,generalist,0.27683195910995495,0.5449903911438684,0.4013371823257674,0.6869081404694605,0.38751543664465016,0.4903501014556034,-0.11068347753469521,-0.089012919129836
ssp119_2050,Amphiprion_leucokranos,Heteractis_crispa,0.43,generalist,0.6560104824855496,0.903584485934043,0.7086723688844438,0.9444487250571911,0.6448092874550577,0.6192330311766794,0.011201195030491884,0.08943933770776447
ssp119_2050,Amphiprion_melanopus,Heteractis_crispa,0.02,specialist,0.6394312175842201,0.8949536082182082,0.6522941662152173,0.9046422913552529,0.7899581133014045,0.741555818875808,-0.15052689571718447,-0.08926165266059072
ssp119_2050,Amphiprion_sebae,Heteractis_crispa,0.11,generalist,0.7566950525994048,0.9445762439572111,0.7938143045259703,0.9617206510265474,0.7427777054690401,0.7600421877809387,0.013917347130364743,0.033772116745031666
ssp119_2050,Amphiprion_akindynos,Heteractis_aurora,0.01,generalist,0.41553782376317494,0.6862648704496636,0.360515638834776,0.619005887380408,0.4140414717400063,0.40855796520484056,0.0014963520231686678,-0.04804232637006456
ssp119_2050,Amphiprion_allardi,Heteractis_aurora,0.07,generalist,0.5813758879466149,0.8595798901826387,0.6569739373658575,0.9029410319781607,0.468407242261237,0.5086016838726182,0.1129686456853779,0.14837225349323935
ssp119_2050,Amphiprion_fuscocaudatus,Heteractis_aurora,0.25,generalist,0.3447761116536816,0.6320873599368372,0.47631228563050265,0.7682912543977276,0.40670397637570554,0.519947318535074,-0.06192786472202394,-0.04363503290457138
ssp119_2050,Amphiprion_latifasciatus,Heteractis_aurora,0.13,generalist,0.471558771721609,0.7361309460507546,0.5656155859607325,0.8204885922141065,0.47567215529804296,0.5561964706677449,-0.004113383576433982,0.009419115292987557
ssp119_2050,Amphiprion_polymnus,Heteractis_aurora,0.02,generalist,0.8407636437731415,0.9711432086983726,0.7588856736400907,0.9464387304420603,0.7780790464686491,0.7661209907785634,0.06268459730449238,-0.007235317138472697
ssp119_2050,Amphiprion_sebae,Heteractis_aurora,0.11,generalist,0.7911328625144255,0.9640413030167918,0.8150350826827739,0.9704517955689871,0.8060638514851066,0.8104583990847352,-0.014930988970681125,0.0045766835980387555
ssp119_2050,Amphiprion_tricinctus,Heteractis_aurora,0.14,generalist,0.3766737889840157,0.7333405040688032,0.5642217052052527,0.8803563189011939,0.33076797893102583,0.4507116408535453,0.04590581005298988,0.11351006435170741
ssp119_2050,Amphiprion_sebae,Heteractis_malu,0.06,generalist,0.7904582525488173,0.965291404852893,0.7456203805879213,0.9502146665163828,0.8282739317533588,0.8240405394146554,-0.03781567920454154,-0.07842015882673403
ssp119_2050,Amphiprion_tricinctus,Heteractis_malu,0.05,generalist,0.20063045690214198,0.5411271611074296,0.3678606914122874,0.7257961775554889,0.21764395377086765,0.3245467834068305,-0.017013496868725664,0.04331390800545687
ssp119_2050,Amphiprion_akindynos,Stichodactyla_haddoni,0.01,generalist,0.5355388108742324,0.7992980426828482,0.4225440048831399,0.689222554864676,0.5139994393800899,0.49540760138376794,0.021539371494142534,-0.07286359650062801
ssp119_2050,Amphiprion_allardi,Stichodactyla_haddoni,0.14,generalist,0.5818543193437613,0.8578092598185942,0.5993144105605581,0.8642204118782955,0.5220919882139787,0.5441867214393712,0.059762331129782575,0.05512768912118693
ssp119_2050,Amphiprion_fuscocaudatus,Stichodactyla_haddoni,0.06,generalist,0.3522572023753485,0.632739338592615,0.472530352590118,0.7531915013418496,0.39835667374936123,0.5013306285479432,-0.04609947137401271,-0.028800275957825194
ssp119_2050,Amphiprion_latifasciatus,Stichodactyla_haddoni,0.08,generalist,0.4261398806470702,0.721475747649419,0.5047481298037211,0.7874064396748873,0.4688066762250179,0.5596469243151734,-0.042666795577947725,-0.0548987945114523
ssp119_2050,Amphiprion_polymnus,Stichodactyla_haddoni,0.88,generalist,0.6893430158927673,0.9115393136385426,0.6638926239414381,0.9082433186829724,0.6554827281345444,0.6715104247697096,0.03386028775822281,-0.007617800828271459
ssp119_2050,Amphiprion_sebae,Stichodactyla_haddoni,0.6,generalist,0.7101966978927485,0.9338215162140683,0.7360192909830499,0.9378845287650099,0.7985999581795286,0.8151670541755536,-0.08840326028678003,-0.07914776319250372
ssp119_2050,Amphiprion_tricinctus,Stichodactyla_haddoni,0.29,generalist,0.29125275712827026,0.6527146324931127,0.4735585150040438,0.8237202956702127,0.2708171841814512,0.38399499896971057,0.02043557294681908,0.08956351603433321
ssp119_2050,Amphiprion_ocellaris,Stichodactyla_gigantea,0.15,specialist,0.6867480423772461,0.913962593782744,0.618312290985201,0.8873671476643865,0.7477356235282175,0.7418808240025305,-0.06098758115097147,-0.12356853301732951
ssp119_2050,Amphiprion_percula,Stichodactyla_gigantea,0.19,specialist,0.7182633478217996,0.9376530016350151,0.6448541821300068,0.8885367109154703,0.6966317789490926,0.6826849284752878,0.021631568872707008,-0.03783074634528105
ssp119_2100,Amphiprion_akindynos,Entacmaea_quadricolor,0.56,generalist,0.44567707173818594,0.7192902073429779,0.37617767854680284,0.6353019667808415,0.448610159774831,0.43721548870700355,-0.0029330880366450485,-0.06103781016020071
ssp119_2100,Amphiprion_allardi,Entacmaea_quadricolor,0.51,generalist,0.5858364599083825,0.8651651015450307,0.6612334506068598,0.9064890986022589,0.4954979261639496,0.532618953072667,0.0903385337444329,0.12861449753419274
ssp119_2100,Amphiprion_chrysogaster,Entacmaea_quadricolor,0.08,generalist,0.5635868931550638,0.8341372579522465,0.4396330509419143,0.7413676560761944,0.39539395790090703,0.3009270548294636,0.1681929352541568,0.1387059961124507
ssp119_2100,Amphiprion_ephippium,Entacmaea_quadricolor,1,specialist,0.6867426927829936,0.9202396791950124,0.7052831463404183,0.9354622793035081,0.6255252544170538,0.651235360311797,0.06121743836593985,0.05404778602862137
ssp119_2100,Amphiprion_frenatus,Entacmaea_quadricolor,1,specialist,0.5265614003048243,0.8112274621954128,0.5163285199385886,0.8088846198919071,0.6804711429351669,0.6736592208428231,-0.15390974263034252,-0.1573307009042345
ssp119_2100,Amphiprion_fuscocaudatus,Entacmaea_quadricolor,0.15,generalist,0.3296292855325438,0.6130593104844947,0.4547221526305658,0.7469712682205845,0.41036396799571595,0.5234443705873076,-0.08073468246317217,-0.06872221795674183
ssp119_2100,Amphiprion_latifasciatus,Entacmaea_quadricolor,0.29,generalist,0.49222110144178943,0.7672885726345676,0.5923100768299039,0.8467631522662359,0.4923071154244263,0.585511033558032,-8.601398263685667e-5,0.006799043271871863
ssp119_2100,Amphiprion_melanopus,Entacmaea_quadricolor,0.98,specialist,0.7407159841973294,0.9438533888888848,0.7117589116773513,0.9316738971521136,0.7480550910989409,0.7051397159585608,-0.007339106901611436,0.006619195718790438
ssp119_2100,Amphiprion_rubrocinctus,Entacmaea_quadricolor,1,specialist,0.3977996142598297,0.705003102672117,0.37712516582182276,0.6583717504484621,0.3295176685430037,0.3070410341931764,0.068281945716826,0.07008413162864635
ssp119_2100,Amphiprion_sebae,Entacmaea_quadricolor,0.06,generalist,0.8196518194839493,0.9727723820700562,0.8561635163848224,0.9811131065753542,0.7897487812494729,0.7965019778712976,0.029903038234476376,0.05966153851352474
ssp119_2100,Amphiprion_tricinctus,Entacmaea_quadricolor,0.22,generalist,0.35201817454294804,0.7061430568061153,0.5392687170543282,0.8669304592286653,0.30734480314706036,0.4271310601331938,0.04467337139588767,0.11213765692113442
ssp119_2100,Amphiprion_akallopisos,Heteractis_magnifica,0.94,specialist,0.7637118884808898,0.9545008511048498,0.7580062024871175,0.9567160077842849,0.7210732782260962,0.7226403108503647,0.04263861025479354,0.035365891636752744
ssp119_2100,Amphiprion_akindynos,Heteractis_magnifica,0.02,generalist,0.32384436091320723,0.6075450425886318,0.2894306530033379,0.5382419483006552,0.37967950319528554,0.3738566870936849,-0.05583514228207831,-0.08442603409034699
ssp119_2100,Amphiprion_allardi,Heteractis_magnifica,0.11,generalist,0.5275607153839185,0.8231760566468039,0.6529894707740181,0.8909554935066739,0.4573236051432571,0.5002940817874028,0.07023711024066137,0.1526953889866154
ssp119_2100,Amphiprion_chrysogaster,Heteractis_magnifica,0.32,generalist,0.46380709687333777,0.7644412702151004,0.43606335477635116,0.7286961206158656,0.42811135933118394,0.34170951879647504,0.03569573754215383,0.09435383597987612
ssp119_2100,Amphiprion_latifasciatus,Heteractis_magnifica,0.08,generalist,0.5468216151633118,0.7835069148075136,0.6543218416898438,0.8619916471846117,0.5460125515350809,0.6222266676258061,8.09063628230966e-4,0.03209517406403761
ssp119_2100,Amphiprion_leucokranos,Heteractis_magnifica,0.14,generalist,0.6476925394777546,0.8962649727068138,0.739531195028166,0.950656015982836,0.6666934845788242,0.6266837584050448,-0.019000945101069533,0.11284743662312124
ssp119_2100,Amphiprion_nigripes,Heteractis_magnifica,1,specialist,0.6490978921312738,0.8555872214176709,0.6183534003702758,0.8613128733215296,0.732856141063021,0.654834841215972,-0.08375824893174721,-0.03648144084569627
ssp119_2100,Amphiprion_ocellaris,Heteractis_magnifica,0.85,specialist,0.5132146047565987,0.8029062686456288,0.5668425701028303,0.8462993684720309,0.6985232060071849,0.6955442206691062,-0.18530860125058612,-0.1287016505662758
ssp119_2100,Amphiprion_percula,Heteractis_magnifica,0.81,specialist,0.5742005137127884,0.8738316403276953,0.5959737441343591,0.874748189702614,0.7015713640845997,0.6662676166728674,-0.1273708503718114,-0.07029387253850827
ssp119_2100,Amphiprion_tricinctus,Heteractis_magnifica,0.03,generalist,0.401923848879413,0.7201756648670206,0.5914529210639168,0.8796867713038266,0.3459967984318786,0.4750450107773102,0.05592705044753443,0.11640791028660658
ssp119_2100,Amphiprion_akindynos,Heteractis_crispa,0.15,generalist,0.40323475010275045,0.6868171160618001,0.33788420950128417,0.5912678148701237,0.4738430285890468,0.4607131534187402,-0.07060827848629636,-0.12282894391745602
ssp119_2100,Amphiprion_allardi,Heteractis_crispa,0.01,generalist,0.5605300872150175,0.8462128422340235,0.6606748015072641,0.8977666197144144,0.5391445620811792,0.5727490514328075,0.02138552513383829,0.08792575007445658
ssp119_2100,Amphiprion_fuscocaudatus,Heteractis_crispa,0.05,generalist,0.277178326748299,0.5438807311292395,0.39959501435396094,0.6840918261982181,0.38751543664465016,0.4903501014556034,-0.11033710989635115,-0.09075508710164248
ssp119_2100,Amphiprion_leucokranos,Heteractis_crispa,0.43,generalist,0.6565991268674736,0.9035627789642644,0.7088115608588444,0.9444032693197826,0.6448092874550577,0.6192330311766794,0.011789839412415848,0.08957852968216506
ssp119_2100,Amphiprion_melanopus,Heteractis_crispa,0.02,specialist,0.6396487196386806,0.8948139927115627,0.6512859516729357,0.9041391058341065,0.7899581133014045,0.741555818875808,-0.1503093936627239,-0.09026986720287233
ssp119_2100,Amphiprion_sebae,Heteractis_crispa,0.11,generalist,0.7571750813006707,0.9445432756340527,0.7947985903190928,0.9618838687444528,0.7427777054690401,0.7600421877809387,0.014397375831630588,0.03475640253815415
ssp119_2100,Amphiprion_akindynos,Heteractis_aurora,0.01,generalist,0.41424452187976046,0.6852531243704264,0.3602817665107745,0.6188800698457825,0.4140414717400063,0.40855796520484056,2.0305013975419062e-4,-0.048276198694066075
ssp119_2100,Amphiprion_allardi,Heteractis_aurora,0.07,generalist,0.5833921026022275,0.8613815528909189,0.6580324156561699,0.9033273923367028,0.468407242261237,0.5086016838726182,0.11498486034099054,0.1494307317835517
